"admin2.name.full","total_pop","wt_night_time_light","wt_ndvi","wt_health_access"
"Baringo_805",19552.3217849731,0.337706118319702,4937.20144553824,5.51496095388112
"Baringo_Baringo Central",118882.420869827,4.02908043575222,6438.84059253288,6.7292959096119
"Baringo_Baringo North",128674.323417664,0.1206714798273,6067.79115385737,13.6799812124875
"Baringo_Baringo South",110148.641271681,0.718050533897093,5142.58807819263,13.4788192643856
"Baringo_Eldama Ravine",133587.461367607,3.3405620457223,6471.22085553815,8.81973837984458
"Baringo_Mogotio",60743.8602518365,0.0631367587923374,5464.96512339329,14.4694789243056
"Baringo_Tiaty",186334.208089352,0.0244426857788779,4751.55847692469,55.3357160045613
"Bomet_Bomet Central",164098.38180542,0.55870871754428,7476.19277761806,1.96365539579462
"Bomet_Bomet East",187242.524888992,3.86305433427787,6694.8117311894,2.35693984347299
"Bomet_Chepalungu",241656.867126465,1.07367358954454,6504.51157983348,2.21749274636725
"Bomet_Konoin",206329.933500051,1.30854520146672,7908.68862291905,2.95951879453744
"Bomet_Sotik",251852.23664093,2.04516635087455,7196.29912261757,1.94780751709878
"Bungoma_Bumula",225772.179260254,0.474344076230561,6223.07037543826,3.39903926515647
"Bungoma_Kabuchai",181723.010437012,1.3506176411786,6304.1627839597,2.78626861280337
"Bungoma_Kanduyi",298028.716293335,13.3833487149479,6058.38047295927,2.50059169008883
"Bungoma_Kimilili",163985.789520264,3.4876928412821,6364.95126729772,2.04014134515652
"Bungoma_Likuyani",165403.999511719,2.17165965666936,5876.0649170974,2.99170321294691
"Bungoma_Lugari",136547.321456909,0.483776068881608,6322.69540073592,3.35935421161193
"Bungoma_Mt. Elgon",199323.268559188,0.383799617382866,6553.72380442598,7.3758897342897
"Bungoma_Sirisia",131979.69909668,0.349788447479536,6325.62987292038,4.70394693878091
"Bungoma_Tongaren",234231.596618652,0.724902635612591,6232.75432436196,2.84836566789396
"Bungoma_Webute West",147987.009094238,2.06732131744378,6245.18695363983,2.72684973295168
"Bungoma_Webuye East",147127.265441895,9.02146681720453,6228.15742358738,2.53535627198749
"Busia_Budalangi",84759.8484034538,1.88123338048045,6120.82477256601,5.06214199619489
"Busia_Butula",152415.162872314,0.962993055054655,6494.56109714784,2.35109514071786
"Busia_Funyula",115295.332803249,0.721574755365068,6136.15501829658,4.0363483759312
"Busia_Matayos",157358.454711914,21.6049171252515,6089.10201197879,5.11701558897786
"Busia_Nambale",118466.12109375,0.836302159220495,6368.5649732423,3.40558974940522
"Busia_Teso North",142493.111083984,7.83687046808116,6114.77872901678,6.14162057856718
"Busia_Teso South",161948.639160156,1.31769159080824,6202.02458452705,5.70682324708951
"Elgeyo-Marakwet_Keiyo North",105284.702216148,3.77164052072012,6207.31645329584,9.5208419742709
"Elgeyo-Marakwet_Keiyo South",154232.298158646,0.156769792298133,6821.00529496759,7.69448287679158
"Elgeyo-Marakwet_Marakwet East",118133.356953621,0.081762596265219,6678.61492731319,23.5820560191626
"Elgeyo-Marakwet_Marakwet West",111808.588004112,0.511345837592075,6825.74254904525,12.4757780627683
"Embu_Manyatta",242782.253078594,15.6099696451321,6789.32606954517,1.61862038600144
"Embu_Mbeere North",107741.381282806,0.841294049717322,5506.32407858612,4.85066605973204
"Embu_Mbeere South",161245.671377152,1.49799515303003,5146.3601527798,4.54315593136636
"Embu_Runyenjes",143554.01268481,1.71120809426897,7043.55007077878,1.57784195749609
"Garissa_Balambala",131149.37881434,0.000428810872986367,2745.80336235851,58.5792545898203
"Garissa_Daadab",370814.039019644,6.60540181956284,2858.31268130118,15.2217936552751
"Garissa_Fafi",297339.232356429,3.30943179489957,3346.44034325427,40.3825423491673
"Garissa_Garissa Township",270883.001843214,50.3153470264377,3375.89148485612,2.75943544545487
"Garissa_Ijara",168179.884984478,0.356310302455235,4635.24697466775,53.4474378331279
"Garissa_Lagdera",222172.691679478,0.00256439878175829,2350.30939846459,81.3149580469296
"Homa Bay_Homa Bay Town",112954.390464306,12.2310205654858,5870.27484951402,2.1198564483882
"Homa Bay_Kabondo Kasipul",131334.108108521,4.0891607005138,6469.01864830015,2.04981343372369
"Homa Bay_Karachuonyo",165015.577547073,1.57121022279812,5749.95917653579,2.82755831901866
"Homa Bay_Kasipul",134226.275756836,4.606229876164,6449.20566228178,1.87138687364041
"Homa Bay_Mbita",135054.81265521,1.42392167672505,5786.20876378631,6.10825796260653
"Homa Bay_Ndhiwa",204245.746560097,0.666451627741578,6504.55374579871,4.64901003088636
"Homa Bay_Rangwe",121317.810433388,1.13949831146266,6128.91623055738,2.89172476311713
"Homa Bay_Suba",123622.372284889,1.06698954947616,6037.36385502116,9.30554798881745
"Homa Bay_unknown 6",27763.4633255005,0.562429831654651,5602.52268505886,4.90201551388524
"Isiolo_Isiolo North",122329.412378125,21.0769513339127,3267.69170882112,26.9122478201066
"Isiolo_Isiolo South",58521.5939590931,0.097693263557037,3140.57540418296,39.5234211892674
"Kajiado_Kajiado Central",145331.827956676,4.22927462508231,4348.86929557292,28.3250720103242
"Kajiado_Kajiado East",179172.985011935,41.3673430381215,3980.90109915118,7.89105938955887
"Kajiado_Kajiado North",278850.443004608,70.4191949818019,4972.42493017442,1.0720840024916
"Kajiado_Kajiado South",188141.289878607,0.881777319956865,4243.53992970931,15.699763992642
"Kajiado_Kajiado West",173260.519769192,6.79815211892249,4402.58434112604,29.6208311396903
"Kakamega_Butere",179721.625610352,1.8432388319226,6498.36994145146,2.46425421770213
"Kakamega_Ikolomani",130390.552642822,2.78148026945808,6725.7954545124,2.06098953270339
